ruta,bytes_antes,bytes_despues,bytes_ahorrados,dimensiones_antes,dimensiones_despues,calidad,estado
assets/productos/BEAUTY_CARE/accesorios_beauty/montoc_rizador_de_pestanas/montoc_rizador_de_pestanas_0.webp,115168,112156,3012,1055x1491,1055x1491,80,optimizada
assets/productos/BEAUTY_CARE/accesorios_beauty/montoc_rizador_de_pestanas/montoc_rizador_de_pestanas_1.webp,19754,19302,452,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_beauty/montoc_rizador_de_pestanas/montoc_rizador_de_pestanas_2.webp,24742,24014,728,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_beauty/montoc_rizador_de_pestanas/montoc_rizador_de_pestanas_3.webp,15940,15452,488,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_capilares/cepillo_desenredante_flexible_para_rulos/cepillo_desenredante_flexible_para_rulos_0.webp,119472,116618,2854,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/accesorios_capilares/cepillo_desenredante_flexible_para_rulos/cepillo_desenredante_flexible_para_rulos_1.webp,31726,31350,376,698x1000,698x1000,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_de_maquillaje/makeup_puff_blender/makeup_puff_blender_0.webp,110248,107276,2972,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/accesorios_de_maquillaje/makeup_puff_blender/makeup_puff_blender_1.webp,32912,31036,1876,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_de_maquillaje/makeup_puff_blender/makeup_puff_blender_2.webp,29942,28264,1678,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_de_maquillaje/makeup_puff_blender/makeup_puff_blender_3.webp,30066,28742,1324,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/accesorios_de_maquillaje/makeup_puff_blender/makeup_puff_blender_4.webp,24770,23534,1236,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/etniker_crema_gel_fijadora_para_cabello/etniker_crema_gel_fijadora_para_cabello_0.webp,125442,122970,2472,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/etniker_crema_gel_fijadora_para_cabello/etniker_crema_gel_fijadora_para_cabello_1.webp,45878,44282,1596,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/etniker_crema_gel_fijadora_para_cabello/etniker_crema_gel_fijadora_para_cabello_2.webp,20548,19970,578,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/etniker_crema_gel_fijadora_para_cabello/etniker_crema_gel_fijadora_para_cabello_3.webp,29184,28712,472,800x880,800x880,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_acondicionador_kaba/kaba_acondicionador_kaba_0.webp,10008,9690,318,736x736,736x736,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_acondicionador_kaba/kaba_acondicionador_kaba_1.webp,63530,61240,2290,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_biomascarilla_kaba/kaba_biomascarilla_kaba_0.webp,11046,10898,148,450x450,450x450,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_biomascarilla_kaba/kaba_biomascarilla_kaba_1.webp,77070,75206,1864,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_repolarizador_kaba/kaba_repolarizador_kaba_0.webp,9018,8846,172,736x736,736x736,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_repolarizador_kaba/kaba_repolarizador_kaba_1.webp,57410,55852,1558,563x1000,563x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_shampoo_kaba/kaba_shampoo_kaba_0.webp,31302,30914,388,736x736,736x736,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_shampoo_kaba/kaba_shampoo_kaba_1.webp,52890,51408,1482,563x1000,563x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_tonico_de_crecimiento_kaba/kaba_tonico_de_crecimiento_kaba_0.webp,63792,62430,1362,736x736,736x736,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_tonico_de_crecimiento_kaba/kaba_tonico_de_crecimiento_kaba_1.webp,76338,73910,2428,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_acondicionador_nuevo/la_receta_cbd_acondicionador_nuevo_0.webp,13662,13562,100,500x500,500x500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_acondicionador_nuevo/la_receta_cbd_acondicionador_nuevo_1.webp,68114,66634,1480,667x1000,667x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_gotas_cbd/la_receta_cbd_gotas_cbd_0.webp,17996,17638,358,532x588,532x588,80,optimizada
