ID;Estado;Línea;Categoría;Nombre;Marca;Precio;Disponibilidad;Descripción;Talla;Color;Etiqueta;Carpeta categoría;Carpeta producto;Imágenes
B50;Activo;Beauty Care;Cuidado capilar / acondicionador;Acondicionador Kaba;Kaba;40000;Disponible / por confirmar;Acondicionador Kaba de Kaba. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / acondicionador. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;kaba_acondicionador_kaba;./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_acondicionador_kaba/kaba_acondicionador_kaba_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_acondicionador_kaba/kaba_acondicionador_kaba_1.webp
B51;Activo;Beauty Care;Cuidado capilar / mascarilla;Biomascarilla Kaba;Kaba;45000;Disponible / por confirmar;Biomascarilla Kaba de Kaba. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / mascarilla. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;kaba_biomascarilla_kaba;./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_biomascarilla_kaba/kaba_biomascarilla_kaba_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_biomascarilla_kaba/kaba_biomascarilla_kaba_1.webp
B52;Activo;Beauty Care;Cuidado capilar / tratamiento;Repolarizador Kaba;Kaba;50000;Disponible / por confirmar;Repolarizador Kaba de Kaba. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / tratamiento. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;kaba_repolarizador_kaba;./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_repolarizador_kaba/kaba_repolarizador_kaba_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_repolarizador_kaba/kaba_repolarizador_kaba_1.webp
B49;Activo;Beauty Care;Cuidado capilar / shampoo;Shampoo Kaba;Kaba;45000;Disponible / por confirmar;Shampoo Kaba de Kaba. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / shampoo. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;kaba_shampoo_kaba;./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_shampoo_kaba/kaba_shampoo_kaba_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_shampoo_kaba/kaba_shampoo_kaba_1.webp
B53;Activo;Beauty Care;Cuidado capilar / tónico;Tónico de Crecimiento Kaba;Kaba;45000;Disponible / por confirmar;Tónico de Crecimiento Kaba de Kaba. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / tónico. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;kaba_tonico_de_crecimiento_kaba;./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_tonico_de_crecimiento_kaba/kaba_tonico_de_crecimiento_kaba_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/kaba_tonico_de_crecimiento_kaba/kaba_tonico_de_crecimiento_kaba_1.webp
B57;Activo;Beauty Care;Cuidado capilar / acondicionador;Shampoo de Romero Para Cabello Graso;La Receta CBD;50000;Disponible / por confirmar;Shampoo de Romero Para Cabello Graso de La Receta CBD. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / acondicionador. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;la_receta_cbd_acondicionador_nuevo;./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_acondicionador_nuevo/la_receta_cbd_acondicionador_nuevo_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_acondicionador_nuevo/la_receta_cbd_acondicionador_nuevo_1.webp
B59;Activo;Beauty Care;Cuidado capilar / gotas;Gotas Aceite reparador de puntas;La Receta CBD;35000;Disponible / por confirmar;Gotas Aceite reparador de puntas de La Receta CBD. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / gotas. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;la_receta_cbd_gotas_cbd;./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_gotas_cbd/la_receta_cbd_gotas_cbd_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_gotas_cbd/la_receta_cbd_gotas_cbd_1.webp
B58;Activo;Beauty Care;Cuidado capilar / shampoo;Shampoo Anticaspa;La Receta CBD;50000;Disponible / por confirmar;Shampoo Anticaspa de La Receta CBD. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / shampoo. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;la_receta_cbd_shampoo_anticaspa;./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_shampoo_anticaspa/la_receta_cbd_shampoo_anticaspa_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_shampoo_anticaspa/la_receta_cbd_shampoo_anticaspa_1.webp
B56;Activo;Beauty Care;Cuidado capilar / shampoo;Shampoo Argán;La Receta CBD;40000;Disponible / por confirmar;Shampoo Argán de La Receta CBD. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / shampoo. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;la_receta_cbd_shampoo_argan;./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_shampoo_argan/la_receta_cbd_shampoo_argan_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_shampoo_argan/la_receta_cbd_shampoo_argan_1.webp
B55;Activo;Beauty Care;Cuidado capilar / shampoo;Shampoo Romero;La Receta CBD;50000;Disponible / por confirmar;Shampoo Romero de La Receta CBD. Producto confirmado para el catálogo de LIHEN.CO en la categoría Cuidado capilar / shampoo. Consulta por WhatsApp para confirmar disponibilidad, presentación, tono o referencia aplicable antes de realizar el pedido.;Por confirmar;Por confirmar;Producto confirmado;cuidado_capilar;la_receta_cbd_shampoo_romero;./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_shampoo_romero/la_receta_cbd_shampoo_romero_0.webp|./assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_shampoo_romero/la_receta_cbd_shampoo_romero_1.webp
